algorithm,detection_delay
bayesChangePt,92.56666666666666
windowedGaussian,113.32222222222222
relativeEntropy,125.52222222222221
earthgeckoSkyline,99.82222222222222
contextOSE,118.55555555555557
knncad,110.87777777777778
Alter-ReRe,160.03333333333333
AREP,136.82222222222222
AnDePeD,146.2888888888889
AnDePeDPro,79.78888888888889
